Settlement Date,Settlement Period,System Sell Price(£/MWh),System Buy Price(£/MWh),Net Imbalance Volume(MWh)
25/11/2013,37,91.09,236.86504,512.5251
25/11/2013,38,90.66,138.39214,390.2167
25/11/2013,39,66.14,76.33335,121.2748
25/11/2013,40,64.06,66.98,102.3715
25/11/2013,41,63.61,67.22614,242.7283
25/11/2013,42,63.6,65.43852,354.6139
25/11/2013,43,58.52,65,153.5344
25/11/2013,44,43.46131,57.28,-69.145
25/11/2013,45,56.18,63.90098,15.9902
25/11/2013,46,42.71067,57.13,-197.2292
25/11/2013,47,42.50728,50.05,-132.3377
25/11/2013,48,39.43667,49.27,-400.6059
26/11/2013,1,35.7785,49.14,-597.9711
26/11/2013,2,40.07974,49.12,-274.6335
26/11/2013,3,40.04282,50.19,-65.149
26/11/2013,4,36.05445,47.53,-168.9767
26/11/2013,5,38.21808,46.54,-241.2607
26/11/2013,6,40,45.3,-108.5241
26/11/2013,7,40,45.29,-49.5494
26/11/2013,8,40,43.7,-100.2659
26/11/2013,9,41.95,53.0074,91.6906
26/11/2013,10,39.65507,42.07,-60.427
26/11/2013,11,40.01584,45.02,-172.7068
26/11/2013,12,41.17119,45.78,-303.8169
26/11/2013,13,41.9941,48.26,-417.8253
26/11/2013,14,41.74866,50.04,-369.52
26/11/2013,15,54.37,88.32472,257.4285
26/11/2013,16,56.35,116.16996,619.9932
26/11/2013,17,55.19,96.68423,502.1299
26/11/2013,18,55.91,94.07944,29.4995
26/11/2013,19,43.35347,54.99,-51.9104
26/11/2013,20,42.73527,55.26,-165.7823
26/11/2013,21,42.72748,57.74,-143.1745
26/11/2013,22,42.68336,56.45,-204.4619
26/11/2013,23,42.49443,52.43,-180.9536
26/11/2013,24,42.91346,52.45,-179.5916
26/11/2013,25,42.99737,52.68,-159.7667
26/11/2013,26,42.9,51.55,-98.4751
26/11/2013,27,52.5,61.72308,55.8386
26/11/2013,28,42.88365,51.39,-72.8292
26/11/2013,29,53.4,62.5,65.8033
26/11/2013,30,42.53357,50.9,-435.0643
26/11/2013,31,42.08547,57.4,-698.0301
26/11/2013,32,43.51592,56.98,-354.9977
26/11/2013,33,43.45301,64.37,-332.8726
26/11/2013,34,42.71322,85.8,-791.0393
26/11/2013,35,39.19377,81.49,-1219.2058
26/11/2013,36,42.70671,77.19,-1082.3504
26/11/2013,37,43.17882,70.38,-750.6014
26/11/2013,38,42.88268,66.39,-876.9975
26/11/2013,39,42.59193,54.84,-1014.7672
26/11/2013,40,43.04576,54.81,-440.9445
26/11/2013,41,43.19207,55.69,-127.2781
